time,place,status,tsunami,significance,data_type,magnitude,state,longitude,latitude,depth,date,days_since_last
746378873660,"70 km WNW of Yakutat, AK",reviewed,0,39,earthquake,1.6," AK",-140.8333,59.8255,-3.0,1993-08-26 15:27:53.660000+00:00,
1574384878869,"3 km S of Point MacKenzie, AK",reviewed,1,334,earthquake,4.0," AK",-149.9808,61.3339,46.6,2019-11-22 01:07:58.869000+00:00,9583.0
636670273060,"70 km ESE of Khand?d, Afghanistan",reviewed,0,500,earthquake,5.7," Afghanistan",73.061,36.738,10.0,1990-03-05 20:51:13.060000+00:00,
649952770970,"21 km ENE of Jurm, Afghanistan",reviewed,0,271,earthquake,4.2," Afghanistan",71.069,36.906,33.0,1990-08-06 14:26:10.970000+00:00,153.0
667312403790,"68 km SSW of Jurm, Afghanistan",reviewed,0,465,earthquake,5.5," Afghanistan",70.645,36.27,154.7,1991-02-23 12:33:23.790000+00:00,200.0
667833410210,"38 km SW of Ashk?sham, Afghanistan",reviewed,0,312,earthquake,4.5," Afghanistan",71.288,36.4,105.9,1991-03-01 13:16:50.210000+00:00,6.0
679482551910,"53 km SW of Ashk?sham, Afghanistan",reviewed,0,691,earthquake,6.7," Afghanistan",71.119,36.334,212.9,1991-07-14 09:09:11.910000+00:00,134.0
730095988130,"33 km SSW of Ashk?sham, Afghanistan",reviewed,0,326,earthquake,4.6," Afghanistan",71.404,36.401,117.6,1993-02-19 04:26:28.130000+00:00,585.0
743428206790,"52 km ESE of Farkh?r, Afghanistan",reviewed,0,500,earthquake,5.7," Afghanistan",70.416,36.437,272.0,1993-07-23 11:50:06.790000+00:00,154.0
744900168190,"53 km S of Jurm, Afghanistan",reviewed,0,754,earthquake,7.0," Afghanistan",70.868,36.379,214.5,1993-08-09 12:42:48.190000+00:00,17.0
747142718930,"48 km S of Jurm, Afghanistan",reviewed,0,554,earthquake,6.0," Afghanistan",70.812,36.429,194.5,1993-09-04 11:38:38.930000+00:00,25.0
782715981080,"24 km SSW of Farkh?r, Afghanistan",reviewed,0,465,earthquake,5.5," Afghanistan",69.708,36.391,47.2,1994-10-21 05:06:21.080000+00:00,411.0
814008638500,"49 km ESE of Farkh?r, Afghanistan",reviewed,0,611,earthquake,6.3," Afghanistan",70.387,36.43,222.7,1995-10-18 09:30:38.500000+00:00,362.0
863114209580,"61 km S of Jurm, Afghanistan",reviewed,0,234,earthquake,3.9," Afghanistan",70.863,36.308,129.0,1997-05-08 17:56:49.580000+00:00,568.0
882337889220,"53 km S of Jurm, Afghanistan",reviewed,0,611,earthquake,6.3," Afghanistan",70.773,36.387,207.0,1997-12-17 05:51:29.220000+00:00,222.0
887414887820,"52 km SW of Ashk?sham, Afghanistan",reviewed,0,465,earthquake,5.5," Afghanistan",71.105,36.358,218.9,1998-02-14 00:08:07.820000+00:00,58.0
887977086230,"46 km WSW of Ashk?sham, Afghanistan",reviewed,0,630,earthquake,6.4," Afghanistan",71.086,36.479,235.6,1998-02-20 12:18:06.230000+00:00,6.0
904878340240,"9 km WSW of Ashk?sham, Afghanistan",reviewed,0,168,earthquake,3.3," Afghanistan",71.425,36.663,224.5,1998-09-04 03:05:40.240000+00:00,195.0
